src,tgt,src_lang,tgt_lang,domain
worth for money 6gb and dedication memory card slot,6 জিবি এবং ডেডিকেশন মেমরি কার্ড স্লট দাম দেওয়ার উপযুক্ত,English,Bengali,E
"great device , best under 15k .","দুর্দান্ত যন্ত্র, 15 হাজারের মধ্যে সেরা।",English,Bengali,E
screen quality is best of best it has ips display but the colours are vibrant .,"স্ক্রিনের গুণমান সবচেয়ে সেরা, এতে আইপিএস ডিসপ্লে রয়েছে তবে রঙগুলি প্রাণবন্ত।",English,Bengali,E
it has very good quality of ips display like lg phone not cheap quality ips display on xiaomi 's all phone .,এতে এলজি ফোনের মতো খুব ভাল মানের আইপিএস ডিসপ্লে রয়েছে যা জিয়াওমির সমস্ত ফোনে সাশ্রয়ী মূল্যের আইপিএস ডিসপ্লে থাকে না।।,English,Bengali,E
"camera is good , battery is long lasting , it has notification led , sounds quality is good , ram and proccessor is fast .","ক্যামেরাটি ভালো, ব্যাটারি দীর্ঘস্থায়ী হয়, এতে একটি নোটিফিকেশন এলইডি আছে, শব্দের মান ভালো, র‍্যাম এবং প্রসেসর দ্রুত।",English,Bengali,E
i love this phone and i guarantee you will never regret after buying this phone,আমি এই ফোনটি পছন্দ করি এবং আমি গ্যারান্টি দিচ্ছি যে এই ফোনটি কেনার পরে আপনি কখনই অনুশোচনা করবেন না।,English,Bengali,E
superb phone. value for money,দুর্দান্ত ফোন। টাকা খরচের উপযুক্ত,English,Bengali,E
nice phone under 15k,15 হাজার টাকার মধ্যে এটাই ভালো ফোন ফোন।,English,Bengali,E
"awesome phone , super fast , no heating at all , performance superb and battery long time .","অসাধারণ ফোন, খুব দ্রুত, একদম গরম হয় না, পারফরম্যান্স দারুন এবং ব্যাটারি অনেকক্ষণ স্থায়ী হয়।",English,Bengali,E
only little bit heat while charging and watching youtube videos using 4g sim net and it is common .,চার্জ করার সময় এবং 4G সিম নেট ব্যবহার করে ইউটিউব ভিডিও দেখার সময় শুধুমাত্র সামান্য গরম হয় এবং এটি স্বাভাবিক।,English,Bengali,E
1 battery backup is awesome,1 ব্যাটারি ব্যাকআপ দুর্দান্ত,English,Bengali,E
3 display is amazing,3 ডিসপ্লে চমত্কার,English,Bengali,E
4 camera is decent not too good not too bad,"4 ক্যামেরাটা উপযুক্ত, খুব একটা ভালোও না, খারাপও না।",English,Bengali,E
5 u can play pubg in high def,5 আপনি হাই ডেফে পাবজি খেলতে পারেন,English,Bengali,E
1 no gorilla glass,1 গরিলা গ্লাস নেই,English,Bengali,E
"• since it has 5000 mah battery , normal users can use this phone up to 4 days , whereas internet users can use the phone upto 2 days .","• যেহেতু এতে 5000 এমএএইচ ব্যাটারি রয়েছে, তাই সাধারণ ব্যবহারকারীরা এই ফোনটি 4 দিন পর্যন্ত ব্যবহার করতে পারবেন, অন্যদিকে ইন্টারনেট ব্যবহারকারীরা 2 দিন পর্যন্ত ফোনটি ব্যবহার করতে পারবেন।",English,Bengali,E
• 16 + 5 mp dual camera at backside is good and 16mp front camera does takes good selfies .,•পিছনে ১৬ + ৫ মেগাপিক্সেলের ডুয়াল ক্যামেরাটি ভালো এবং সামনে ১৬ মেগাপিক্সেলের ক্যামেরাটি ভালো সেলফি নেয়।।,English,Bengali,E
"• due to qualcomm snapdragon 636 and 6gb ram , playing video is awesome and there is no lagging while playing games .",• কোয়ালকম স্ন্যাপড্রাগন ৬৩৬ এবং ৬ জিবি র‍্যামের কারণে ভিডিও দেখা দারুন এবং গেম খেলার সময় কোনও ল্যাগিং হয় না।,English,Bengali,E
• sound quality is excellent .,শব্দের গুণগত মান চমৎকার।,English,Bengali,E
"if you want more sound , one can use max-box provided with this mobile .","যদি আপনি আরও জোর আত্তয়াজ চান, তাহলে এই মোবাইলের সাথে দেওয়া ম্যাক্স-বক্সটি ব্যবহার করতে পারেন।",English,Bengali,E
• mobile has 3 slots .,মোবাইলের 3টি স্লট রয়েছে।,English,Bengali,E
far better than redmi note 5 pro,রেডমি নোট 5 প্রো-এর চেয়ে অনেক ভালো,English,Bengali,E
no words for this awesome device .,এই অসাধারণ ডিভাইসটির জন্য কোন ভাষা নেই।,English,Bengali,E
best phone best ram 6 gb it better for gaming,"সেরা ফোন, সেরা 6 জিবি র‍্যাম, গেমিং এর জন্য ভালো।",English,Bengali,E
i think asus zenfone max pro m1 is better than redmi note 5pro,আমি মনে হয় আসুস জেনফোন ম্যাক্স প্রো এম1 রেডমি নোট 5প্রো এর চেয়ে ভালো।,English,Bengali,E
1 ) price is also upto mark ( redmi 4 gb ram available at this price ),"1) দামও ঠিক আছে (রেডমি 4 জিবি র‍্যাম, এই দামে পাওয়া যায়)",English,Bengali,E
2 ) simple user interface any one can operate this mobile,"2) সহজ ইউজার ইন্টারফেস, যে কেউ এই মোবাইলটি ব্যবহার করতে পারবে।",English,Bengali,E
