src,tgt,src_lang,tgt_lang,domain
worth for money 6gb and dedication memory card slot,"उतने पैसे में 6 जीबी और डेडिकेशन मेमोरी कार्ड स्लॉट, पूरा पैसा वसूल",English,Hindi,E
"great device , best under 15k .","बहुत ही बढ़िया डिवाइस, 15 हजार से कम में तो सबसे बढ़िया।",English,Hindi,E
screen quality is best of best it has ips display but the colours are vibrant .,"स्क्रीन की क्वालिटी तो सबसे अच्छी से भी अच्छी है, इसमें ips डिस्प्ले है लेकिन रंग बहुत सुंदर हैं।",English,Hindi,E
it has very good quality of ips display like lg phone not cheap quality ips display on xiaomi 's all phone .,"ips डिस्प्ले की क्वालिटी तो इसमें बहुत ही अच्छी है जैसे कि lg फोन में होती है, ips डिस्प्ले सस्ती क्वालिटी वाला नहीं है जैसा कि शियाओमी के सारे फोनों में होता है।",English,Hindi,E
"camera is good , battery is long lasting , it has notification led , sounds quality is good , ram and proccessor is fast .","कैमरा अच्छा है, बैटरी लंबे समय तक चलती है, इसमें नोटिफिकेशन लैड है, आवाज़ की क्वालिटी अच्छी है, रैम और प्रोसेसर फास्ट है।",English,Hindi,E
i love this phone and i guarantee you will never regret after buying this phone,मुझे यह फोन अच्छा लगा और इतना तो मैं गारंटी देता हूँ कि इस फोन को खरीदने के बाद आप कभी पछताओगे नहीं।,English,Hindi,E
superb phone. value for money,एकदम बेहतरीन फोन। पूरे पैसे वसूल,English,Hindi,E
nice phone under 15k,15 हजार से कम में अच्छा फोन,English,Hindi,E
"awesome phone , super fast , no heating at all , performance superb and battery long time .","ऑसम फोन, सुपर फास्ट, हीटिंग तो बिल्कुल भी नहीं होती, गजब की परफॉर्मेंस और बैटरी लंबे समय तक चलती है।",English,Hindi,E
only little bit heat while charging and watching youtube videos using 4g sim net and it is common .,थोड़ी सी हीटिंग चार्ज करते समय और 4जी सिम नेट का उपयोग करके यूट्यूब पर वीडियो देखते समय होती है और यह तो आम बात है।,English,Hindi,E
1 battery backup is awesome,1 बैटरी बैकअप तो बहुत ही बढ़िया है।,English,Hindi,E
3 display is amazing,3 गजब का डिसप्ले है।,English,Hindi,E
4 camera is decent not too good not too bad,"4 कैमरा अच्छा ही है, बहुत अच्छा भी नहीं, बहुत बुरा भी नहीं",English,Hindi,E
5 u can play pubg in high def,5 हाई डेफ में आप पबजी खेल सकते हो,English,Hindi,E
1 no gorilla glass,1 गोरिल्ला ग्लास भी नहीं है,English,Hindi,E
"• since it has 5000 mah battery , normal users can use this phone up to 4 days , whereas internet users can use the phone upto 2 days .","चूंकि इसमें 5000 एमएएच की बैटरी है, इसलिए सामान्य लोग इस फोन को 4 दिनों तक यूज़ कर सकते हैं, जबकि इंटरनेट यूज़र फोन को 2 दिनों तक यूज़ कर सकते हैं।",English,Hindi,E
• 16 + 5 mp dual camera at backside is good and 16mp front camera does takes good selfies .,पीछे वाला कैमरा 16 + 5 एमपी का डुअल कैमरा अच्छा है और 16 एमपी का फ्रंट कैमरा अच्छी सेल्फी खींचता है।,English,Hindi,E
"• due to qualcomm snapdragon 636 and 6gb ram , playing video is awesome and there is no lagging while playing games .","क्वालकॉम स्नैपड्रैगन 636 और 6 जीबी रैम की वजह से, वीडियो चलाना तो बहुत ही बढ़िया है और गेम खेलते समय कुछ भी रुकावट नहीं आती है।",English,Hindi,E
• sound quality is excellent .,आवाज़ की क्वालिटी तो कमाल की है।,English,Hindi,E
"if you want more sound , one can use max-box provided with this mobile .","यदि ज्यादा आवाज़ चाहिए, तो इस मोबाइल में दिए गए मैक्स-बॉक्स को आप यूज़ कर सकते हैं।",English,Hindi,E
• mobile has 3 slots .,मोबाइल में 3 स्लॉट हैं।,English,Hindi,E
far better than redmi note 5 pro,रेडमी नोट 5 प्रो से कहीं ज्यादा बढ़िया,English,Hindi,E
no words for this awesome device .,इस कमाल के डिवाइस को तो क्या ही कहें।,English,Hindi,E
best phone best ram 6 gb it better for gaming,"सबसे बढ़िया फोन, सबसे बढ़िया रैम 6 जीबी, गेमिंग के लिए तो यह बहुत ही बढ़िया है",English,Hindi,E
i think asus zenfone max pro m1 is better than redmi note 5pro,"मेरे हिसाब से तो ASUS ज़ेनफोन मैक्स प्रो m1, रेडमी नोट 5प्रो से ज्यादा अच्छा है",English,Hindi,E
1 ) price is also upto mark ( redmi 4 gb ram available at this price ),1) कीमत भी एकदम सही है (रेडमी 4 जीबी रैम इतने ही पैसे में मिलता है),English,Hindi,E
2 ) simple user interface any one can operate this mobile,"2) सिम्पल यूज़र इंटरफ़ेस, इस मोबाइल को कोई भी चला सकता है",English,Hindi,E
3 ) no heating issue after heavy usage of 2 days .,3) 2 दिनों तक बहुत ज्यादा यूज़ करने पर भी हिटिंग की कोई दिक्क्त नहीं।,English,Hindi,E
4 ) 5000mah power is more than enough,4) 5000 एमएएच पॉवर जरूरत से ज्यादा ही है,English,Hindi,E
overall good impression by asus,सब कुछ मिलाकर ASUS का इंप्रेशन अच्छा ही है,English,Hindi,E
"phone is good , camera not best for low light .but not capchar bad photo , dey photo is natural and good qualiy .","फोन अच्छा है, कम रोशनी में कैमरा बहुत अच्छा नहीं खींचता। लेकिन उतना खराब भी फोटो नहीं खींचता, दिन में तो फोटो असली और अच्छी क्वालिटी वाला खींचता है।",English,Hindi,E
"overall very good quality phone , . at . 14999 / -now",सब कुछ मिलाकर 14999/- में अच्छी क्वालिटी वाला फोन। -अब,English,Hindi,E
the phone is just amazing .,फोन तो बस कमाल का है।,English,Hindi,E
it 's the best value for money smartphone .,स्मार्टफोन के लिए तो उतने पैसे में यह सबसे अच्छा है।,English,Hindi,E
it feels like 20k + phone.i got the delivery in just 23hours which is just amazing .,"ऐसा लग रहा है कि 20k + फोन, सिर्फ 23 घंटों में मुझे डिलीवरी भी हो गई, बस मजा आ गया।",English,Hindi,E
whoever cannot buy oneplus because of cost then it 's very good option .,"कीमत के कारण जो कोई भी वनप्लस नहीं खरीद सकता, तो यह वाला बहुत ही अच्छी पसन्द है।",English,Hindi,E
plus the stock android is the icing on the cake.very much satisfied .,"इसके अलावा स्टॉक एंड्रॉइड तो सोने पे सुहागा है, बहुत ही मस्त।",English,Hindi,E
don 't regret just go for it you will love this phone .,"ज्यादा सोचो मत, ले लो बस, यह फ़ोन आपको बहुत अच्छा लगेगा।",English,Hindi,E
not satisfied with front camera still,फ्रंट कैमरा अच्छा नहीं लगा,English,Hindi,E
