src,tgt,src_lang,tgt_lang,domain
worth for money 6gb and dedication memory card slot,"किमतीच्या लायक , 6 जीबी आणि डेडिकेशन मेमरी कार्ड स्लॉट",English,Marathi,E
"great device , best under 15k .","उत्तम डिव्हाईस, 15 हजारांपेक्षा कमी किंमतीत .",English,Marathi,E
screen quality is best of best it has ips display but the colours are vibrant .,"पडद्याची गुणवत्ता सर्वोत्तम आहे, त्यात आयपीएस प्रदर्शन आहे, परंतु कलर्स वाइब्रन्ट आहेत.",English,Marathi,E
it has very good quality of ips display like lg phone not cheap quality ips display on xiaomi 's all phone .,"यात एलजी फोनसारखा आयपीएस डिस्प्ले खूप चांगला आहे, झ्याओमीच्या सर्व फोनवर स्वस्त दर्जाचा आयपीएस डिस्प्ले नाही.",English,Marathi,E
"camera is good , battery is long lasting , it has notification led , sounds quality is good , ram and proccessor is fast .","कॅमेरा चांगला आहे, बॅटरी दीर्घकाळ टिकते, त्यात नोटीफिकेशन एलईडी आहे, आवाजाची गुणवत्ता चांगली आहे, रॅम आणि प्रोसेसर वेगवान आहे.",English,Marathi,E
i love this phone and i guarantee you will never regret after buying this phone,मला हा फोन आवडतो आणि मी हमी देतो की हा फोन खरेदी केल्यानंतर तुम्हाला कधीही पश्चाताप होणार नाही.,English,Marathi,E
superb phone. value for money,उत्कृष्ट फोन. पैशाचे योग्य मूल्य,English,Marathi,E
nice phone under 15k,15 हजारांपेक्षा कमी किंमतीचा चांगला फोन,English,Marathi,E
"awesome phone , super fast , no heating at all , performance superb and battery long time .","उत्कृष्ट फोन, सुपर फास्ट, अजिबात हीटिंग नाही, परफॉर्मन्स उत्कृष्ट आणि बॅटरी दीर्घकाळ टिकते.",English,Marathi,E
only little bit heat while charging and watching youtube videos using 4g sim net and it is common .,4 जी सिम नेट वापरून चार्ज करताना आणि यूट्यूब व्हिडिओ पाहताना फक्त थोडा गरम होतो आणि हे सामान्य आहे.,English,Marathi,E
1 battery backup is awesome,1 बॅटरी बॅकअप पण मस्तच आहे,English,Marathi,E
3 display is amazing,3 डिस्प्ले एकदम झकास आहे,English,Marathi,E
4 camera is decent not too good not too bad,4 कॅमेरा चांगला आहे खूप चांगला नाही आणि खूप वाईटही नाही,English,Marathi,E
5 u can play pubg in high def,5 तूम्ही हाय डेफमध्ये पबजी खेळू शकता,English,Marathi,E
1 no gorilla glass,1 गोरेला ग्लास नाही,English,Marathi,E
"• since it has 5000 mah battery , normal users can use this phone up to 4 days , whereas internet users can use the phone upto 2 days .","5000 एमएएच बॅटरी असल्याने सामान्य यूझर्स हा फोन 4 दिवसांपर्यंत वापरू शकतात, तर इंटरनेट यूझर्स 2 दिवसांपर्यंत फोन वापरू शकतात.",English,Marathi,E
• 16 + 5 mp dual camera at backside is good and 16mp front camera does takes good selfies .,मागील बाजूस 16 + 5 एमपीचा ड्युअल कॅमेरा पण चांगला आहे आणि 16 एमपीचा फ्रंट कॅमेरा चांगले सेल्फी घेतो.,English,Marathi,E
"• due to qualcomm snapdragon 636 and 6gb ram , playing video is awesome and there is no lagging while playing games .",क्वालकॉम स्नॅपड्रॅगन 636 आणि 6 जीबी रॅममुळे व्हिडिओ खेळणे फारच छान आहे आणि खेळ खेळताना कोणतेही लॅगिंग नाही.,English,Marathi,E
• sound quality is excellent .,आवाजाची गुणवत्ता उत्कृष्ट आहे.,English,Marathi,E
"if you want more sound , one can use max-box provided with this mobile .","तुम्हाला अधिक मोठा आवाज हवा असल्यास, कोणीही या मोबाईलसोबत दिलेला मॅक्स-बॉक्स वापरू शकतो.",English,Marathi,E
• mobile has 3 slots .,मोबाईलमध्ये 3 स्लॉट आहेत.,English,Marathi,E
far better than redmi note 5 pro,रेडमी नोट 5 प्रोपेक्षा फार फार चांगला,English,Marathi,E
no words for this awesome device .,या ऑसम डिव्हाईससाठी शब्द नाहीत.,English,Marathi,E
best phone best ram 6 gb it better for gaming,बेस्ट फोन खेळण्यासाठी बेस्ट रॅम 6 जीबी चांगली आहे,English,Marathi,E
i think asus zenfone max pro m1 is better than redmi note 5pro,मला वाटते की एएसययूस झेनफोन मॅक्स प्रो एम1 हा रेडमी नोट 5 प्रोपेक्षा चांगला आहे,English,Marathi,E
1 ) price is also upto mark ( redmi 4 gb ram available at this price ),1) किंमत देखील ठीकच आहे (रेडमी 4 जीबी रॅम या किंमतीत उपलब्ध आहे),English,Marathi,E
2 ) simple user interface any one can operate this mobile,"2) सुलभ यूझर इंटरफेस , कोणीही हा मोबाईल ऑपरेट करू शकतो",English,Marathi,E
3 ) no heating issue after heavy usage of 2 days .,3) 2 दिवसांच्या भरपूर वापरानंतरही गरम होण्याची समस्या नाही.,English,Marathi,E
4 ) 5000mah power is more than enough,4) 5000एमएएच पॉवर पुरेशी आहे,English,Marathi,E
overall good impression by asus,Asusद्वारे एकूणच चांगले इंपरेशन,English,Marathi,E
"phone is good , camera not best for low light .but not capchar bad photo , dey photo is natural and good qualiy .","फोन चांगला आहे, कमी लाईटसाठी कॅमेरा चांगला नाही. परंतु बेकार फोटोही कॅप्चर करत नाही, फोटो नैसर्गिक आणि चांगलेच असतात.",English,Marathi,E
"overall very good quality phone , . at . 14999 / -now","एकंदरीत खूप चांगल्या दर्जाचा फोन, आता 14999/- ला.",English,Marathi,E
the phone is just amazing .,फोन फारच मस्त आहे.,English,Marathi,E
it 's the best value for money smartphone .,"या स्मार्टफोनचे पूर्ण पैसे वसूल होतात, एकदम बेस्ट आहे.",English,Marathi,E
it feels like 20k + phone.i got the delivery in just 23hours which is just amazing .,"हा 20 हजारापेक्षा जास्त किमतीचा वाटतो. मला फक्त 23 तासांत डिलिव्हरी मिळाली, हे आश्चर्य आहे.",English,Marathi,E
whoever cannot buy oneplus because of cost then it 's very good option .,"ज्याला महागडा वनप्लस खरेदी करणे शक्य नाही, त्याच्या साठी हा खूप चांगला पर्याय आहे.",English,Marathi,E
plus the stock android is the icing on the cake.very much satisfied .,"या वर स्टॉक अँड्रॉइडची भर, हे तर केकवरील आइसिंग आहे. मी खूप खुश आहे.",English,Marathi,E
don 't regret just go for it you will love this phone .,काही खंत नाही. सरळ घेऊन टाका. तुम्हाला हा फोन आवडेल.,English,Marathi,E
not satisfied with front camera still,समोरच्या कॅमेऱ्या बद्दल अजूनही खुश नाही,English,Marathi,E
firstly i should be thankful to ekart logistics to deliver my zenfone max pro m1 within 24hours .,सर्वप्रथम 24 तासात माझा झेनफोन मॅक्स प्रो एम 1 डेलिव्हर केल्याबद्दल मी इकार्ट लॉजिस्टिक्सचा आभारी आहे.,English,Marathi,E
yesterday 12 : 00pm i ordered asus zenfone max pro m1 and today 12 : 30pm it was in my hand .,काल दुपारी 12ला मी Asus झेनफोन मॅक्स प्रो एम1 मागवला आणि आज दुपारी 12:30ला तो माझ्या हाती आला.,English,Marathi,E
there is no gorilla glass in zenfone but after all it is really unbeatable .,झेनफोनमध्ये गोरिला ग्लास नाही परंतु शेवटी त्याला तोड नाही.,English,Marathi,E
first time i brought asus product ( zenfone m1 6gb ) phone it 's really awesome to use this device .,पहिल्यांदाच मी Asus (झेनफोन एम1 6 जीबी) फोन घेतला व हा वापरणे खरोखरच मस्त आहे.,English,Marathi,E
it is extremely powerful sd processor and battery is very useful in every condition .,"हा खूपच जबरदस्त आहे, एसडी प्रोसेसर आणि बॅटरी सगळ्या प्रकारच्या वापरासाठी योग्य आहे.",English,Marathi,E
good job asus team .,"उत्तम, Asus टीम.",English,Marathi,E
best phone under 20k i think,"मला वाटते, हा 20 हजाराच्या आतील बेस्ट फोन आहे",English,Marathi,E
first of all thank you flipkart for fast delivery,"सर्वात आधी, फास्ट डेलीवरीसाठी फ्लीपकार्टचे आभार.",English,Marathi,E
dual camera is awesome,ड्युअल कॅमेरा बढिया आहे,English,Marathi,E
good battery back up,चांगला बॅटरी बॅकअप,English,Marathi,E
very fast with 6gb ram,6 जीबी रॅमसह अतिशय वेगवान,English,Marathi,E
last of all just go for it if you wanna buy a budget phone,"शेवटी, तुम्हाला बजेट फोन विकत घ्यायचा असेल तर हा घेऊन टाका.",English,Marathi,E
very good phone without any doubts .,"खूपच चांगला फोन आहे, यात कोणतीही शंका नही.",English,Marathi,E
camera is good but night photography is ok,कॅमेरा छान आहे पण रात्रीच्या फोटोग्राफीसाठी ठीक-ठाक आहे.,English,Marathi,E
call clarity is very good,कॉलची स्पष्टता एकदम चांगली आहे.,English,Marathi,E
iam using iphone 7 plus but my zen beats all,मी आयफोन 7 प्लस वापरत आहे पण माझा झेन सर्वांना हरवतो,English,Marathi,E
the best mobile phone for rs15000 .,15000 रुपयांना सर्वोत्तम मोबाईल फोन.,English,Marathi,E
thanks to flipkart executive who came twice and delivered before time .,दोनदा आलेल्या आणि वेळेपूर्वी डेलीवरीसाठी फ्लीपकार्टच्या कार्यकारी अधिकाऱ्याचे आभार.,English,Marathi,E
1st of all asus and flipkart well done,"सर्व प्रथम, Asus आणि फ्लीपकार्ट वेल डन",English,Marathi,E
camera is also good bt after few updates,काही अपडेटनंतर कॅमेरा देखील चांगला आहे,English,Marathi,E
"grey looks better , guyz if ur confused between both clous , dont be , grey is better then black","ग्रे रंग चांगला दिसतो, मित्रांनो जर तुम्ही दोन्ही मध्ये गोंधळू नका, ग्रे रंग काळ्या रंगापेक्षा चांगला असतो.",English,Marathi,E
over all product is too much good,एकंदरीत उत्पाद खूप चांगले आहे,English,Marathi,E
"wonderful phone , 200 % value for money","एकदम छान फोन, 200% पैसे वसूल.",English,Marathi,E
what else one can expect in 15k ?,15 हजारांमध्ये आणखी काय अपेक्षित आहे?,English,Marathi,E
"the beast , in real manner. go for it .","खरोखर ,एकदम मस्त. बिनधास्त घ्या.",English,Marathi,E
really unbeatable mobile in this category. sabka baap asus zenfone max pro. amazing,या कॅटेगरीतील खरोखरच अनबीटेबल मोबाईल. सबका बाप Asus झेनफोन मॅक्स प्रो खूपच चांगला.,English,Marathi,E
this is one of the best phone under this price segment .,या किंमतीत हा सर्वोत्तम फोन आहे.,English,Marathi,E
"under 15k you are getting very nice display , 5000 mah battery , triple sim slots , 6gb ram snapdragon 636 .","15 हजारांपेक्षा कमी किंमतीत तुम्हाला खूप चांगला डिस्प्ले, 5000 एमएएच बॅटरी, ट्रिपल सिम स्लॉट, 6 जीबी रॅम स्नॅपड्रॅगन 636 मिळत आहे.",English,Marathi,E
camera is also good but need some improvement which can be fixed via ota update so dont worry .,कॅमेरा देखील चांगला आहे परंतु काही सुधारणा आवश्यक आहेत ज्या ओटा अपडेटद्वारे निश्चित केल्या जाऊ शकतात त्यामुळे काळजी करू नका.,English,Marathi,E
