src,tgt,src_lang,tgt_lang,domain
i was expecting better for gaming .,நான் விளையாட்டுக்கு சிறப்பாக எதிர்பார்த்தேன்.,English,Tamil,E
but its not good. i bought today but now im going to sell it as soon as possible .,"ஆனா அது நல்லா இல்ல. இன்னைக்கு வாங்கினேன், ஆனா இப்போ சீக்கிரம் வித்துடுவேன்.",English,Tamil,E
i got 6gb version at nearly 11k in offer best value for money deal .,"எனக்கு 6gb பதிப்பு கிட்டத்தட்ட 11,000 விலையில் கிடைத்தது, விலைக்கு ஏற்ற சிறந்த சலுகை.",English,Tamil,E
flipkart delivery was pathetic but the phone is awesome .,"ஃபிளிப்கார்ட் டெலிவரி மோசமாக  இருந்தது, ஆனால் போன் அருமையாக உள்ளது.",English,Tamil,E
its is the best mobile phone in its category and price with the features that it has in it for the amount being paid .,செலுத்தப்படும் பணத்திற்கு  ஏற்றவாறு இதில் உள்ள அம்சங்கள் மற்றும் வகையிலும் விலையிலும் இதுவே சிறந்த மொபைல் போன்.,English,Tamil,E
"instead of buying third grade chinese product like mi , oppo , vivo , huawai people can always buy this product and its value for money .","mi, oppo, vivo, huawai போன்ற மூன்றாம் தர சீன தயாரிப்புகளை வாங்குவதற்கு பதிலாக, மக்கள் எப்போதும் இந்த தயாரிப்பையும் அதன் விலையையும் பணத்திற்கு வாங்கலாம்.",English,Tamil,E
i bought this mobile on november 2. after three months mobile condition,நான் இந்த மொபைலை நவம்பர் 2 அன்று வாங்கினேன். மூன்று மாதங்களுக்குப் பிறகு மொபைல் நிலை,English,Tamil,E
finger print sensor is not working,விரல் அச்சு சென்சார் வேலை செய்யவில்லை.,English,Tamil,E
fast charger not works. may be a update fix this,வேகமான சார்ஜர் வேலை செய்யவில்லை. ஒரு புதுப்பிப்பு இதை சரி செய்யலாம்,English,Tamil,E
it takes 5 to 7 hours for full charging. some times fast charge works and it takes 2.30 hours,முழுமையாக சார்ஜ் ஆக 5 முதல் 7 மணி நேரம் ஆகும். சில நேரங்களில் வேகமான சார்ஜ் வேலை செய்தால்  2.30 மணி நேரம் ஆகும்.,English,Tamil,E
you can &apos;t use flash in mobiles while the object is near. it will show white screen .,பொருள் அருகில் இருக்கும்போது மொபைல்களில் ஃபிளாஷைப் பயன்படுத்த முடியாது. அது வெள்ளைத் திரையைக் காண்பிக்கும்.,English,Tamil,E
i thinking want to change mobile in next three months,அடுத்த மூன்று மாதங்களுக்குள் மொபைல் மாற்ற வேண்டும் என்று நினைக்கிறேன்.,English,Tamil,E
this is bad product .,இது மோசமான தயாரிப்பு.,English,Tamil,E
in this mobile privacy not secure.and flipkart easy return policy is froud policy .,இந்த மொபைல் தனியுரிமையில் பாதுகாப்பற்றது. மேலும் பிளிப்கார்ட்டின் எளிதான ரிட்டர்ன் பாலிசி என்பது போலியான பாலிசி.,English,Tamil,E
one new problem created phone not locked .,தொலைபேசி பூட்டப்படாததால் ஒரு புதிய சிக்கல் ஏற்பட்டது.,English,Tamil,E
am getting trouble front camera,முன் கேமரால எனக்கு பிரச்சனையா இருக்கு.,English,Tamil,E
it &apos;s not working properly .,அது சரியாக வேலை செய்யவில்லை.,English,Tamil,E
sometimes the device suddenly struck .,சில நேரங்களில் சாதனம் திடீரென்று தாக்கியது.,English,Tamil,E
and i asked in helpline in online but they didn &apos;t say proper solutions to me .,"நான் ஆன்லைன்  ஹெல்ப்லைனில் கேட்டேன், ஆனால் அவர்கள் எனக்கு சரியான தீர்வுகளைச் சொல்லவில்லை.",English,Tamil,E
finally i wasted money to buy this device .,கடைசியா இந்த சாதனத்தை வாங்க பணத்தை வீணாக்கிட்டேன்.,English,Tamil,E
"flipkart doing it &apos;s not fair business , we are not fooles to purchase product on-line especially on flipkart. after expiring exchange / refund time u r sending sorry seller not excepted u r request , it &apos;s not fair .","ஃபிளிப்கார்ட் செய்வது நியாயமற்றது, ஆன்லைனில், குறிப்பாக ஃபிளிப்கார்ட்டில் பொருட்களை வாங்குவதற்கு நாங்கள் முட்டாள்கள் அல்ல. பரிமாற்றம் / பணத்தைத் திரும்பப்பெறும் நேரம் காலாவதியான பிறகு, நீங்கள் 'மன்னிக்கவும், விற்பனையாளர் உங்கள் கோரிக்கையை ஏற்கவில்லை'என்கிறீர்கள், இது நியாயமற்றது.",English,Tamil,E
"not getting updates , update patch is of april , not getting proper battery backups .","புதுப்பிப்புகள் கிடைக்கவில்லை, புதுப்பிப்பு இணைப்பு ஏப்ரல் மாதமாகும், சரியான பேட்டரி   காப்புப்பிரதிகள் அதாவது தேவையான ஆதரவு  கிடைக்கவில்லை.",English,Tamil,E
worst mobile i have ever purchased .,நான் வாங்கியதிலேயே மிகவும் மோசமான மொபைல்.,English,Tamil,E
