src,tgt,src_lang,tgt_lang,domain
i was expecting better for gaming .,నేను గేమింగ్ నుంచి చాలా ఆశించాను.,English,Telugu,E
but its not good. i bought today but now im going to sell it as soon as possible.,కానీ అది మంచిది కాదు. నేను ఈరోజే కొన్నాను కానీ ఇప్పుడు నేను దీనిని వియులైనంత త్వరగా అమ్మేస్తున్నాను.,English,Telugu,E
i got 6gb version at nearly 11k in offer best value for money deal .,"నాకు దాదాపు 11 వేల రూపాయలకు 6gb వెర్షన్ వచ్చింది, డబ్బుకు దగ్గట్టు ఆఫర్ ఇచ్చారు.",English,Telugu,E
flipkart delivery was pathetic but the phone is awesome .,ఫ్లిప్‌కార్ట్ డెలివరీ దారుణంగా ఉంది కానీ ఫోన్ చాలా బాగుంది.,English,Telugu,E
its is the best mobile phone in its category and price with the features that it has in it for the amount being paid .,చెల్లించిన డబ్బుకి దానిలోని ఫీచర్లతో పాటు దాని వర్గం మరియు ధరలో ఇది చాలా మంచి మొబైల్ ఫోన్.,English,Telugu,E
"instead of buying third grade chinese product like mi , oppo , vivo , huawai people can always buy this product and its value for money .","mi, oppo, vivo, huawai వంటి మూడవ గ్రేడ్ చైనీస్ ఉత్పత్తులను కొనుగోలు చేయడానికి బదులుగా ప్రజలు ఎల్లప్పుడూ ఈ ప్రోడక్ట్ ని మరియు దాని విలువను డబ్బుకు అనుగుణంగా కొనుగోలు చేయవచ్చు.",English,Telugu,E
i bought this mobile on november 2. after three months mobile condition,నేను ఈ మొబైల్ నవంబర్ 2న మూడు నెలల తర్వాత మొబైల్ కండిషన్ తరవాత కొన్నాను.,English,Telugu,E
finger print sensor is not working,ఫింగర్ ప్రింట్ సెన్సార్ పనిచేయడం లేదు.,English,Telugu,E
fast charger not works. may be a update fix this,ఫాస్ట్ ఛార్జర్ పనిచేయటం లేదు. బహుశా ఒక అప్డేట్ దీన్ని పరిష్కరిస్తుంది.,English,Telugu,E
it takes 5 to 7 hours for full charging. some times fast charge works and it takes 2.30 hours,"పూర్తిగా ఛార్జ్ కావడానికి 5 నుండి 7 గంటలు పడుతుంది. కొన్నిసార్లు ఫాస్ట్ ఛార్జ్ పనిచేస్తుంది మరియు దానికి, 2.30 గంటలు పడుతుంది.",English,Telugu,E
