src,tgt,src_lang,tgt_lang,domain
worth for money 6gb and dedication memory card slot,پیسے کے قابل 6 جی بی اور ڈیڈی کیشن میموری کارڈ سلاٹ,English,Urdu,E
"great device , best under 15k .",بہترین آلہ، 15 ہزار سے کم میں بہترین۔,English,Urdu,E
screen quality is best of best it has ips display but the colours are vibrant .,اسکرین کا معیار انتہائی بہترین ہے اس میں آئی پی ایس ڈسپلے ہے لیکن رنگ تھرتھرارہے ہیں۔,English,Urdu,E
it has very good quality of ips display like lg phone not cheap quality ips display on xiaomi 's all phone .,اس میں آئی پی ایس ڈسپلے کا معیار بہت اچھا ہے جیسے ایل جی فون کی طرح، شیاؤمی کے تمام فونوں پر سستے معیار کا آئی پی ایس ڈسپلے لگا ہے ۔,English,Urdu,E
"camera is good , battery is long lasting , it has notification led , sounds quality is good , ram and proccessor is fast .",کیمرہ اچھا ہے، بیٹری طویل عرصے تک چلتی ہے، اس میں نوٹیفکیشن ایل ای ڈی ہے، آواز کا معیار اچھا ہے، رام اور پروسیسر تیز ہیں۔,English,Urdu,E
i love this phone and i guarantee you will never regret after buying this phone,مجھے یہ فون پسند ہے اور مجھے یقین ہے کہ یہ فون خریدنے کے بعد آپ کو کبھی پچھتاوا نہیں ہوگا۔,English,Urdu,E
superb phone. value for money,شاندار فون۔ پیسے کی قیمت وصول,English,Urdu,E
nice phone under 15k,15 ہزار سے کم کا اچھا فون,English,Urdu,E
"awesome phone , super fast , no heating at all , performance superb and battery long time .",حیرت انگیز فون، سپر فاسٹ، بالکل گرم نہیں ہوتا، کارکردگی شاندار اور بیٹری دیر تک چلنے والی۔,English,Urdu,E
only little bit heat while charging and watching youtube videos using 4g sim net and it is common .,چارج کرتے وقت اور 4 جی سم نیٹ کا استعمال کرتے ہوئے یوٹیوب ویڈیوز دیکھتے وقت صرف تھوڑا سا گرم ہوتا ہے اور یہ تو عام بات ہے۔,English,Urdu,E
1 battery backup is awesome,1 بیٹری بیک اپ شاندار ہے,English,Urdu,E
3 display is amazing,3 ڈسپلے حیرت انگیز ہے,English,Urdu,E
4 camera is decent not too good not too bad,4 کیمرہ اچھا ہے بہت اچھا بھی نہیں بہت برا بھی نہیں,English,Urdu,E
5 u can play pubg in high def,5 آپ ہائی ڈیفینیشن میں پب جی کھیل سکتے ہیں,English,Urdu,E
1 no gorilla glass,1 گوریلا گلاس نہیں,English,Urdu,E
"• since it has 5000 mah battery , normal users can use this phone up to 4 days , whereas internet users can use the phone upto 2 days .",چونکہ اس میں 5000 ایم اے ایچ کی بیٹری ہے، اس لیے عام صارفین اس فون کو 4 دن تک استعمال کر سکتے ہیں، جبکہ انٹرنیٹ صارفین فون کو 2 دن تک استعمال کر سکتے ہیں۔,English,Urdu,E
• 16 + 5 mp dual camera at backside is good and 16mp front camera does takes good selfies .,پیچھے کی طرف 16 + 5 ایم پی ڈوئل کیمرا اچھا ہے اور 16 ایم پی فرنٹ کیمرا اچھی سیلفیاں لیتا ہے۔,English,Urdu,E
"• due to qualcomm snapdragon 636 and 6gb ram , playing video is awesome and there is no lagging while playing games .",کوال کام اسنیپ ڈریگن 636 اور 6 جی بی ریم کی وجہ سے ویڈیو کھیلنا شاندار لگتا ہے اور گیم کھیلتے وقت دھیما نہیں ہوتا۔,English,Urdu,E
• sound quality is excellent .,آواز کا معیار بہترین ہے۔,English,Urdu,E
"if you want more sound , one can use max-box provided with this mobile .",اگر آپ زیادہ آواز چاہتے ہیں تو اس موبائل کے ساتھ فراہم کردہ میاکس باکس استعمال کر سکتے ہیں۔,English,Urdu,E
• mobile has 3 slots .,موبائل میں 3 سلاٹ ہیں۔,English,Urdu,E
far better than redmi note 5 pro,ریڈمی نوٹ 5 پرو سے بہت بہتر,English,Urdu,E
no words for this awesome device .,اس شاندار آلے کے لیے کوئی الفاظ نہیں ہیں۔,English,Urdu,E
best phone best ram 6 gb it better for gaming,بہترین فون بہترین رام 6 جی بی یہ گیمنگ کے لیے بہتر ہے,English,Urdu,E
i think asus zenfone max pro m1 is better than redmi note 5pro,مجھے لگتا ہے کہ اسوس زینفون میکس پرو ایم، 1 ریڈمی نوٹ 5 پرو سے بہتر ہے,English,Urdu,E
1 ) price is also upto mark ( redmi 4 gb ram available at this price ),1) قیمت بھی صحیح ہے (اس قیمت پر ریڈمی 4 جی بی ریم ملتاہے),English,Urdu,E
2 ) simple user interface any one can operate this mobile,2) سادہ یوزر انٹرفیس کوئی بھی اس موبائل کو چلا سکتا ہے,English,Urdu,E
3 ) no heating issue after heavy usage of 2 days .,3) 2 دن کے بھاری استعمال کے بعد گرم ہونے کا کوئی مسئلہ نہیں۔,English,Urdu,E
4 ) 5000mah power is more than enough,4) 5000 ایم اے ایچ پاور کافی سے زیادہ ہے,English,Urdu,E
overall good impression by asus,اسوس کے ذریعہ مجموعی طور پر اچھا تاثر,English,Urdu,E
"phone is good , camera not best for low light .but not capchar bad photo , dey photo is natural and good qualiy .",فون اچھا ہے، کم روشنی کے لیے کیمرہ بہترین نہیں ہے۔ لیکن خراب تصویر نہیں لیتا، دن میں لی گئی تصویر فطری اور اچھے معیار کی ہے۔,English,Urdu,E
"overall very good quality phone , . at . 14999 / -now",مجموعی طور پر بہت اچھے معیار کا فون۔ 14999/- اب,English,Urdu,E
the phone is just amazing .,فون تو حیرت انگیز ہے۔,English,Urdu,E
it 's the best value for money smartphone .,یہ بہترین پیسہ وصول منی اسمارٹ فون ہے۔,English,Urdu,E
it feels like 20k + phone.i got the delivery in just 23hours which is just amazing .,ایسا لگتا ہے کہ 20 ہزار والا لگتا ہے۔ مجھے صرف 23 گھنٹوں میں ڈیلیوری مل گئی جو کہ حیرت انگیز ہے۔,English,Urdu,E
whoever cannot buy oneplus because of cost then it 's very good option .,جو بھی لاگت کی وجہ سے ون پلس نہیں خرید سکتا اس کے لیے یہ بہت اچھا آپشن ہے۔,English,Urdu,E
plus the stock android is the icing on the cake.very much satisfied .,اس کے علاوہ اسٹاک اینڈرائڈ سونے پر سہاگا ہے۔ بہت مطمئن ہوں۔,English,Urdu,E
don 't regret just go for it you will love this phone .,پچھتاؤ مت، بس اس فون کو لے لو، آپ کو یہ فون پسند آئے گا۔,English,Urdu,E
not satisfied with front camera still,سامنے والے کیمرے سے اب بھی مطمئن نہیں ہوں,English,Urdu,E
firstly i should be thankful to ekart logistics to deliver my zenfone max pro m1 within 24hours .,سب سے پہلے مجھے 24 گھنٹوں کے اندر اپنے زینفون میکس پرو ایم 1 کو پہنچانے کے لیے اکارٹ لاجسٹکس کا شکریہ ادا کرنا چاہیے۔,English,Urdu,E
yesterday 12 : 00pm i ordered asus zenfone max pro m1 and today 12 : 30pm it was in my hand .,کل دوپہر 12:00 بجے میں نے اسوس زینفون میکس پرو ایم 1 کا آرڈر دیا اور آج دوپہر 12 بج کر 30 منٹ پر یہ میرے ہاتھ میں تھا۔,English,Urdu,E
there is no gorilla glass in zenfone but after all it is really unbeatable .,زینفون میں کوئی گوریلہ گلاس نہیں ہے لیکن آخر کار یہ واقعی ناقابل شکست ہے۔,English,Urdu,E
first time i brought asus product ( zenfone m1 6gb ) phone it 's really awesome to use this device .,پہلی بار میں نے اسوس پروڈکٹ () فون خریدا ۔ اس آلے کو استعمال کرنا واقعی زبردست ہے۔,English,Urdu,E
it is extremely powerful sd processor and battery is very useful in every condition .,یہ ایک انتہائی طاقتور ایس ڈی پروسیسر ہے اور بیٹری ہر حالت میں بہت کارآمد ہے۔,English,Urdu,E
good job asus team .,بہت اچھا کام اسوس ٹیم۔,English,Urdu,E
best phone under 20k i think,20 ہزار سے کم کا بہترین فون میرے خیال میں,English,Urdu,E
first of all thank you flipkart for fast delivery,سب سے پہل، ے تیز رفتار ڈیلیوری کے لیے فلپ کارٹ کا شکریہ,English,Urdu,E
dual camera is awesome,ڈوئل کیمرا حیرت انگیز ہے,English,Urdu,E
good battery back up,اچھا بیٹری بیک اپ,English,Urdu,E
very fast with 6gb ram,6 جی بی ریم کے ساتھ بہت تیز,English,Urdu,E
last of all just go for it if you wanna buy a budget phone,آخر میں، اگر آپ بجٹ فون خریدنا چاہتے ہیں تو اسے خریدیں,English,Urdu,E
very good phone without any doubts .,بلا کسی جھجک کے بہت اچھا فون۔,English,Urdu,E
camera is good but night photography is ok,کیمرہ اچھا ہے لیکن رات کی فوٹو گرافی صرف ٹھیک ہے,English,Urdu,E
call clarity is very good,کال کی کلیریٹی بہت اچھی ہے,English,Urdu,E
iam using iphone 7 plus but my zen beats all,میں آئی فون 7 پلس استعمال کر رہا ہوں لیکن میرا زین سب کو پیچھے چھوڑ دیتا ہے,English,Urdu,E
the best mobile phone for rs15000 .,15000 روپے میں بہترین موبائل فون۔,English,Urdu,E
thanks to flipkart executive who came twice and delivered before time .,فلپ کارٹ کے ایگزیکٹو کا شکریہ جو دو بار آیا اور وقت سے پہلے ڈیلیور کر دیا۔,English,Urdu,E
1st of all asus and flipkart well done,سب سے پہلے اسوس اور فلپ کارٹ ، آپ نے بہت اچھا کیا,English,Urdu,E
camera is also good bt after few updates,کیمرہ بھی اچھا ہے لیکن چند اپ ڈیٹس کے بعد,English,Urdu,E
"grey looks better , guyz if ur confused between both clous , dont be , grey is better then black",سرمئی بہتر لگتا ہے، دوستو اگر آپ دونوں رنگوں کے درمیان الجھن میں ہیں، تو پریشان نہ ہوں، سرمئی ، سیاہ سے بہتر ہے,English,Urdu,E
over all product is too much good,مجموعی طور پر پروڈکٹ بہت اچھا ہے,English,Urdu,E
"wonderful phone , 200 % value for money",شاندار فون، 200% پیسہ وصول,English,Urdu,E
what else one can expect in 15k ?,15 ہزار میں اور کیا توقع کی جا سکتی ہے؟,English,Urdu,E
"the beast , in real manner. go for it .",بے مثال، حقیقت میں۔ اسے خرید لیں۔,English,Urdu,E
really unbeatable mobile in this category. sabka baap asus zenfone max pro. amazing,اس زمرے میں واقعی بے مثال موبائل۔ سب کا باپ اسوس زینفون میکس پرو۔ حیرت انگیز,English,Urdu,E
this is one of the best phone under this price segment .,یہ اس قیمت کے زمرے میں بہترین فونز میں سے ایک ہے۔,English,Urdu,E
"under 15k you are getting very nice display , 5000 mah battery , triple sim slots , 6gb ram snapdragon 636 .",15 ہزار سے کم میں آپ کو بہت اچھا ڈسپلے، 5000 ایم اے ایچ بیٹری، ٹرپل سم سلاٹ، 6 جی بی ریم ا سنیپ ڈریگن 636 مل رہا ہے۔,English,Urdu,E
camera is also good but need some improvement which can be fixed via ota update so dont worry .,کیمرہ بھی اچھا ہے لیکن کچھ بہتری کی ضرورت ہے جسے اوٹا اپ ڈیٹ کے ذریعے ٹھیک کیا جا سکتا ہے لہذا پریشان نہ ہوں۔,English,Urdu,E
no company will give you this type of extraordinary specs under 15000rs .,کوئی بھی کمپنی آپ کو 15000 روپے سے کم کی اس قسم کی غیر معمولی اسپیسفکیشن نہیں دے گی۔,English,Urdu,E
"phone display , performance and battery backup is beyond your expectations .",فون ڈسپلے، کارکردگی اور بیٹری بیک اپ آپ کی توقعات سے بالاتر ہیں۔,English,Urdu,E
camera is also fine .,کیمرہ بھی اچھا ہے۔,English,Urdu,E
close your eyes and buy it .,اپنی آنکھیں بند کریں اور اسے خریدیں۔,English,Urdu,E
you will not get regret .,آپ کو کوئی پچھتاوا نہیں ہوگا۔,English,Urdu,E
worry free go for it .,پریشان نہ ہوں اس کو خریدلیں۔,English,Urdu,E
6 gb ram 64 rom,6 جی بی ریم 64 روم,English,Urdu,E
16 mp front cam .,16 ایم پی فرنٹ کیمرہ۔,English,Urdu,E
in this price range .,قیمتوں کی اس حد میں۔,English,Urdu,E
got in first sale .,پہلی بِکری میں مل گیا۔,English,Urdu,E
"at first place , i was convinced of not to buy rn5p as the price shot up after its initial sale and it was just an artificial raise because of its demand and not worth of it .",سب سے پہلے، میں اس بات پر قائل تھا کہ میں آر این 5 پی نہیں خریدوں گا کیونکہ اس کی ابتدائی فروخت کے بعد قیمت میں اضافہ ہوا اور یہ صرف اس کی مانگ کی وجہ سے ایک مصنوعی اضافہ تھا اور اس کی قیمت یہ نہیں تھی۔,English,Urdu,E
"at the time i was waiting for a mobile in this price range , then came was this beast .",جب میں اس قیمت کے آس پاس میں موبائل کا انتظار کر رہا تھا، تو یہ بے مثال فون آیا۔,English,Urdu,E
let me not go into the review of specifications as many had hit the right chords .,میں اسپیسفکیشن کے جائزے میں نہیں جاؤں گا کیونکہ کئی نے صحیح درست کہا ہے۔,English,Urdu,E
if you are looking for a quality mobile which values your every penny then close your eyes and go grab one at once .,اگر آپ ایک معیاری موبائل تلاش کر رہے ہیں جس کی قدر آپ کے ہر پیسے کے برابر ہے تو اپنی آنکھیں بند کریں اور فوری یہ موبائل لے لیں۔,English,Urdu,E
phone is just awesome .,فون بہت اچھا ہے۔,English,Urdu,E
camera is good batter backup is just amazing i charged it 100 % at 11am and next day its 12 : 13pm still battery is 40 % .,کیمرہ اچھا ہے بیٹر ی بیک اپ حیرت انگیز ہے میں نے اسے صبح 11 بجے 100% چارج کیا اور اگلے دن 12:13 بجے بھی اس کا بیٹری 40 فیصد ہے۔,English,Urdu,E
"camera is also good but after updating system update , pic have lot of noice. look is just awesome and superlight weigh compare to mi note 5 pro. and it is way way better than note",کیمرہ بھی اچھا ہے لیکن سسٹم اپ ڈیٹ کرنے کے بعد تصویر میں کافی مسائل ہیں ۔ ایم آئی نوٹ 5 پرو کے مقابلے میں بہت ہی شاندار نظر آتا ہے اور وزن انتہائی کم ہے۔ اور یہ نوٹ سے کہیں بہتر ہے۔,English,Urdu,E
battery backup is good .,بیٹری بیک اپ اچھا ہے۔,English,Urdu,E
face unlock is satisfactory,فیس ان لاک تسلی بخش ہے,English,Urdu,E
great hardware let down by awful buggy software implementation .,بہترین ہارڈ وئیر کو انتہائی خراب سافٹ وئیر لگاکر کمتر کردیاگیا۔,English,Urdu,E
only saving grace is the awesome developer support on xda which ensures you don 't depend on asus for the right software .,واحد قابلِ فخر بات XDA پر بہترین ڈویلپر سپورٹ ہے، جو یہ یقینی بناتا ہے کہ آپ کو درست سافٹ ویئر کے لیے ASUS پر انحصار نہ کرنا پڑے۔,English,Urdu,E
go for it only if you are the adventures type and ready to flash custom roms to unlock the full potential .,اس کو صرف اس صورت میں خریدیں جب آپ ایڈونچر س قسم کے ہوں اور مکمل صلاحیت سے استفادہ کے لیے کسٹم رومس کو فلیش کرنے کے لیے تیار ہوں۔,English,Urdu,E
amazing product in affordable price .,سستی قیمت پر حیرت انگیز پروڈکٹ۔,English,Urdu,E
i loved the battery life as it 's been working smoothly since last 3 days .,مجھے بیٹری دورانیہ پسند آیا کیونکہ یہ پچھلے 3 دنوں سے آسانی سے کام کر رہا تھا۔,English,Urdu,E
thanks for on time delivery .,وقت پر ڈیلیوری کے لیے شکریہ۔,English,Urdu,E
non asus users try to give a sort .,غیر اسوس صارفین ایک قسم کا حل فراہم کرنے کی کوشش کرتے ہیں۔,English,Urdu,E
this phone is almost perfect .,یہ فون تقریباً کامل ہے۔,English,Urdu,E
looks great in the grey color .,سرمئی رنگ میں بہت اچھا لگتا ہے۔,English,Urdu,E
performance is also awesome .,کارکردگی بھی شاندار ہے۔,English,Urdu,E
battery life is insane .,بیٹری کا دورانیہ حیرت انگیز ہے۔,English,Urdu,E
cameras are also very good .,کیمرے بھی بہت اچھے ہیں۔,English,Urdu,E
only the camera app needs to be improved .,صرف کیمرہ ایپ کو بہتر بنانے کی ضرورت ہے۔,English,Urdu,E
"there are lot of bugs in the phone , like the wifi looses connection automatically and camera app crashes .",فون میں بہت سارے بگس ہوتے ہیں، جیسے وائی فائی کنکشن خود بخود کھو دیتا ہے اور کیمرہ ایپ کریش ہو جاتی ہے۔,English,Urdu,E
asus has been pushing updates and one thing gets a little better but then there is some other new bug .,اسوس اپ ڈیٹس کو آگے بڑھا رہا ہے اور ایک چیز تھوڑی بہتر ہو جاتی ہے لیکن پھر کوئی اور نئی بگ آتی ہے۔,English,Urdu,E
asus need to improve camera of the mobile,اسوس کو موبائل کے کیمرے کو بہتر بنانے کی ضرورت ہے,English,Urdu,E
"excellent phone considering its price.i always prefer asus over mi.pros- battery , display , lag free performance , stock android cons- camera performance in low light conditions especially front cam , lack of any gorilla glass .",بہترین فون اس کی قیمت کو دیکھتے ہوئے، میں ہمیشہ اسوس کومی-پروس-بیٹری پر ترجیح دیتا ہوں، ڈسپلے، لیگ فری پرفارمنس، کم روشنی کے حالات میں اسٹاک اینڈرائڈ کنس کیمرا پرفارمنس خاص طور پر فرنٹ کیم، کسی بھی گوریلہ گلاس کی کمی کو ترجیح دیتا ہے۔,English,Urdu,E
have to handel carefully.best buy in this price range .,احتیاط سے ہینڈل کرنا پڑے گا۔ اس قیمت کی حد میں بہترین خریدیں۔,English,Urdu,E
hope asus providers least 2 major os updates and time to time updates.happy about thepurchase .,امید ہے کہ اسوس فراہم کنندگان کم از کم 2 بڑے OS اپ ڈیٹس اور وقتاً فوقتاً اپڈیٹس۔ خریداری کے بارے میں خوش ہوں۔,English,Urdu,E
good sound quality and louder too,اچھی آواز کا معیار اور بلند آواز بھی,English,Urdu,E
not much slim as it packs 5000mah,زیادہ پتلی نہیں کیونکہ یہ 5000 ایم اے ایچ پیک کرتی ہے,English,Urdu,E
some major apps required like,کچھ بڑی ایپس کی ضرورت ہے جیسے,English,Urdu,E
front flash is not working maybe some settings have changed,فرنٹ فلیش کام نہیں کر رہا ہے شاید کچھ سیٹنگ بدل گئی ہیں,English,Urdu,E
low light photography not upto mark,کم روشنی کی فوٹوگرافی اتنی اچھی نہیں ہے,English,Urdu,E
call recording option missing,کال ریکارڈنگ کا آپشن نہیں ہے,English,Urdu,E
excellent mobile and till date no issue after the use of a week .,بہترین موبائل اور ایک ہفتے کے استعمال کے بعد آج تک کوئی مسئلہ نہیں۔,English,Urdu,E
i purchase this mobile in first flash sale with a fear of camera performance but i was right in deal .,میں نے یہ موبائل پہلی فلیش سیل میں کیمرے کی کارکردگی کے خوف سے خریدا تھالیکن میں ڈیل میں درست ثابت ہوا۔,English,Urdu,E
no issue with camera .,کیمرے کے ساتھ کوئی مسئلہ نہیں۔,English,Urdu,E
